t,p_x,p_y,p_z
14.52,14.41305280565632,-0.08267425437918723,4.852193794663251
14.56,14.440550048284232,-0.12172674587153991,4.847304698696109
14.6,14.468234813811758,-0.16179548304200383,4.839049241103347
14.64,14.496219225879168,-0.2030085857548639,4.827593598658726
14.68,14.524573877847482,-0.24543184232651916,4.8131069605513845
14.72,14.553350645052824,-0.2891156016394781,4.795756039709045
14.76,14.58256484672261,-0.3340691149081885,4.775709093681272
14.8,14.612220648730204,-0.38029118506102505,4.75313134011773
14.84,14.642298909644996,-0.42774942430302115,4.728187040442858
14.88,14.672764732240397,-0.47640695443391695,4.701038770527695
14.92,14.703563298869556,-0.5262012549897582,4.671848337431143
14.96,14.734629696267513,-0.5770644905689585,4.640771865702546
15.0,14.765895539492181,-0.6289143402732453,4.607959835013499
15.040000000000001,14.797293399406408,-0.681669810672873,4.573557077359942
15.08,14.828758168710033,-0.7352398574512933,4.537703339349722
15.120000000000001,14.860229701787972,-0.789539575020667,4.500532736636973
15.16,14.891648549601065,-0.8444799114854905,4.462173660629116
15.200000000000001,14.922957616813578,-0.8999847975017523,4.422748122800286
15.24,14.95410072153734,-0.9559825513203296,4.382373313588978
15.280000000000001,14.985025414421115,-1.0124085828423428,4.341161208042094
15.32,15.015685434554912,-1.0692045554818548,4.2992187544294564
15.36,15.046047880701702,-1.126320393745859,4.256648553037943
15.4,15.076092811989485,-1.1837100242047611,4.213547964664447
15.44,15.10579993770399,-1.2413354294749575,4.170008420317624
15.48,15.13515873952094,-1.2991616672482285,4.126117046894728
15.52,15.164172648584184,-1.357164429232444,4.081956436289292
15.56,15.192858829656661,-1.4153209596050695,4.0376053859913315
15.6,15.221235936766744,-1.4736040146088893,3.993139003363036
15.64,15.249329637586193,-1.5319815120545743,3.9486277694934437
15.68,15.277175502029023,-1.5904191600182638,3.9041381503812556
15.72,15.304808248047715,-1.6488796561737409,3.859733197480314
15.76,15.332259398043158,-1.707329358780951,3.81547187166631
15.8,15.359553738299317,-1.7657261982292458,3.7714095401831846
15.84,15.386714339431165,-1.8240242266738123,3.7275961169197505
15.88,15.413773307463304,-1.8821770771167265,3.6840777856166538
15.92,15.440760529128651,-1.9401552718916018,3.6409004587311213
15.96,15.467703533077481,-1.9979302038172364,3.5981049523422994
16.0,15.494610588044045,-2.0554645634271385,3.5557291391422607
16.04,15.521486579873487,-2.1127155798911557,3.5138083274058327
16.080000000000002,15.548332615665974,-2.169647044294846,3.4723738402385353
16.12,15.57515781377568,-2.2262299553125926,3.4314527261950025
16.16,15.601959567292948,-2.2824356677250037,3.391069702618288
16.2,15.62871917276993,-2.3382459437983267,3.3512494641212163
16.240000000000002,15.655413421266962,-2.3936393691119315,3.3120143700331695
16.28,15.682023288874102,-2.448589861531662,3.2733827407855647
16.32,15.70853062590122,-2.5030798841857864,3.235371367654376
16.36,15.734927026105732,-2.5570988161916413,3.1979951489018372
16.4,15.761207315269614,-2.6106361341226285,3.161266320177801
16.44,15.787363668894974,-2.663673655815897,3.1251950991866315
16.48,15.813384540016333,-2.716192473513779,3.0897912061831567
16.52,15.839254194864449,-2.7681732693150387,3.055062284240516
16.56,15.86494767118932,-2.8196005470108023,3.0210136549991953
16.6,15.890442842080153,-2.8704599199017182,2.9876494362025015
16.64,15.91571364791982,-2.920729302525546,2.9549722351231202
16.68,15.940731146099932,-2.970389511800194,2.9229830718610033
16.72,15.965472022563947,-3.0194250754137286,2.891680688711747
16.76,15.989919180694828,-3.0678213855920005,2.861063397092656
16.8,16.01405006701726,-3.1155325293800313,2.8319379480811895
16.84,16.037915340379765,-3.1623085725251974,2.804736807318116
16.88,16.06164899212421,-3.207652884020156,2.779359663095927
16.92,16.085342509959386,-3.2512225134246124,2.75570831841349
16.96,16.1090701239715,-3.2927319822870236,2.7336690376372297
17.0,16.133238813796467,-3.332009703715329,2.713138797358053
17.04,16.158688001738895,-3.3689295368943255,2.693985557776823
17.080000000000002,16.185997204663607,-3.4034444018956784,2.6760868841731904
17.12,16.21564762531597,-3.4355348717845597,2.6593113702465847
17.16,16.247928053718443,-3.465236447533152,2.643562112063554
17.2,16.283048762348816,-3.492616479647289,2.628753187747328
17.240000000000002,16.32106988658127,-3.5177827059546387,2.6148299780980504
17.28,16.36199299767774,-3.540860407372469,2.6017505941122927
17.32,16.40572035786711,-3.562003044976524,2.589496405991759
17.36,16.45211421442016,-3.581372156837713,2.578057580420052
17.400000000000002,16.500969900691498,-3.5991439107127112,2.5674324744534545
17.44,16.552067518434903,-3.6154941805895624,2.5576212612334612
17.48,16.605151654247138,-3.63060111008321,2.548625883673892
17.52,16.659954179486743,-3.6446383775891587,2.540456569758366
17.56,16.71611822572704,-3.6577622705156845,2.533119887649993
17.6,16.773212410173368,-3.670103500783034,2.526615065592489
17.64,16.830873197537947,-3.6817633039710023,2.5215936604698075
17.68,16.88832484319318,-3.6917548094225396,2.518310807115393
17.72,16.944313816375733,-3.69781691756526,2.516223689910862
17.76,16.99790880372814,-3.69844612363159,2.5147704855833277
17.8,17.04834731761536,-3.6924477358087726,2.51325982435785
17.84,17.095116271893524,-3.6791373106100806,2.5111961394059734
17.88,17.137826020254455,-3.6580364927167124,2.508133097759124
17.92,17.176257802205193,-3.62900573660773,2.5038424097221585
17.96,17.21029290980203,-3.5920415416613842,2.498191952680997
18.0,17.23994572643223,-3.547371930851358,2.4912189911162628
18.04,17.265303442537757,-3.4953228117810067,2.4830367745470965
